"playoff","pt_seq","pop_mean","pop_sd","zscore","prob","prob_pct"
"y",2.2,3.05735294117647,2.82783113724848,1.11883468538672,0.380874849720573,"38.1%"
"y",2.3,3.05735294117647,2.82783113724848,1.21883468538672,0.394418501217611,"39.4%"
"y",2.4,3.05735294117647,2.82783113724848,1.31883468538672,0.40809101916691,"40.8%"
"y",2.5,3.05735294117647,2.82783113724848,1.41883468538672,0.421876381767329,"42.2%"
"y",2.6,3.05735294117647,2.82783113724848,1.51883468538672,0.435758151794908,"43.6%"
"y",2.7,3.05735294117647,2.82783113724848,1.61883468538672,0.44971953528567,"45%"
"y",2.8,3.05735294117647,2.82783113724848,1.71883468538672,0.463743442417475,"46.4%"
"y",2.9,3.05735294117647,2.82783113724848,1.81883468538672,0.477812550223489,"47.8%"
"y",3,3.05735294117647,2.82783113724848,1.91883468538672,0.491909366754,"49.2%"
"y",3.1,3.05735294117647,2.82783113724848,2.01883468538672,0.5060162962907,"50.6%"
"y",3.2,3.05735294117647,2.82783113724848,2.11883468538672,0.520115705208372,"52%"
"y",3.3,3.05735294117647,2.82783113724848,2.21883468538672,0.534189988073307,"53.4%"
"y",3.4,3.05735294117647,2.82783113724848,2.31883468538672,0.548221633565649,"54.8%"
"y",3.5,3.05735294117647,2.82783113724848,2.41883468538672,0.562193289814467,"56.2%"
"y",3.6,3.05735294117647,2.82783113724848,2.51883468538672,0.576087828739424,"57.6%"
"y",3.7,3.05735294117647,2.82783113724848,2.61883468538672,0.589888409001621,"59%"
"y",3.8,3.05735294117647,2.82783113724848,2.71883468538672,0.603578537178265,"60.4%"
"y",3.9,3.05735294117647,2.82783113724848,2.81883468538672,0.6171421267912,"61.7%"
"y",4,3.05735294117647,2.82783113724848,2.91883468538672,0.630563554837897,"63.1%"
"y",4.1,3.05735294117647,2.82783113724848,3.01883468538672,0.643827715494908,"64.4%"
"y",4.2,3.05735294117647,2.82783113724848,3.11883468538672,0.656920070687958,"65.7%"
"y",4.3,3.05735294117647,2.82783113724848,3.21883468538672,0.669826697249374,"67%"
"y",4.4,3.05735294117647,2.82783113724848,3.31883468538672,0.682534330412271,"68.3%"
"y",4.5,3.05735294117647,2.82783113724848,3.41883468538672,0.695030403421395,"69.5%"
"y",4.6,3.05735294117647,2.82783113724848,3.51883468538672,0.707303083072565,"70.7%"
"y",4.7,3.05735294117647,2.82783113724848,3.61883468538672,0.719341301025775,"71.9%"
"y",4.8,3.05735294117647,2.82783113724848,3.71883468538672,0.731134780771064,"73.1%"
"y",4.9,3.05735294117647,2.82783113724848,3.81883468538672,0.742674060160621,"74.3%"
"y",5,3.05735294117647,2.82783113724848,3.91883468538672,0.753950509455209,"75.4%"
